능력단위코드,능력단위명,세분류코드,세분류,소분류,중분류,대분류,개발연도버전,수준,서비스중단,숨김
2001010101_19v4,정보기술 전략 기획,20010101,정보기술전략,정보기술전략·계획,정보기술,정보통신,19v4,7,N,N
2001010102_19v4,정보기술 거버넌스 전략 수립,20010101,정보기술전략,정보기술전략·계획,정보기술,정보통신,19v4,7,N,N
2001010103_19v4,정보기술 R&D 전략 수립,20010101,정보기술전략,정보기술전략·계획,정보기술,정보통신,19v4,6,N,N
2001010104_19v4,정보기술 프로세스관리 전략 수립,20010101,정보기술전략,정보기술전략·계획,정보기술,정보통신,19v4,6,N,N
2001010105_19v4,정보기술 아키텍처 계획 수립,20010101,정보기술전략,정보기술전략·계획,정보기술,정보통신,19v4,6,N,N
2001010106_19v4,정보기술 협업관리 전략 수립,20010101,정보기술전략,정보기술전략·계획,정보기술,정보통신,19v4,6,N,N
2001010107_19v4,정보기술 투자계획 수립,20010101,정보기술전략,정보기술전략·계획,정보기술,정보통신,19v4,7,N,N
2001010108_19v4,정보기술 성과관리,20010101,정보기술전략,정보기술전략·계획,정보기술,정보통신,19v4,6,N,N
2001010109_19v4,정보기술 전략 통합관리,20010101,정보기술전략,정보기술전략·계획,정보기술,정보통신,19v4,5,N,N
2001010110_19v4,정보기술 전략 실행관리,20010101,정보기술전략,정보기술전략·계획,정보기술,정보통신,19v4,5,N,N
2001010201_19v4,정보기술 컨설팅 기획,20010102,정보기술컨설팅,정보기술전략·계획,정보기술,정보통신,19v4,8,N,N
2001010202_19v4,정보기술 조직 경영전략 분석,20010102,정보기술컨설팅,정보기술전략·계획,정보기술,정보통신,19v4,6,N,N
2001010203_19v4,정보기술 조직 경영환경 분석,20010102,정보기술컨설팅,정보기술전략·계획,정보기술,정보통신,19v4,6,N,N
2001010204_19v4,정보기술 컨설팅 대상업무 분석,20010102,정보기술컨설팅,정보기술전략·계획,정보기술,정보통신,19v4,7,N,N
2001010206_19v4,정보기술 컨설팅 목표 수립,20010102,정보기술컨설팅,정보기술전략·계획,정보기술,정보통신,19v4,8,N,N
2001010207_19v4,정보기술 컨설팅 대상업무 개선방안 도출,20010102,정보기술컨설팅,정보기술전략·계획,정보기술,정보통신,19v4,7,N,N
2001010208_19v4,정보시스템 개선방안 도출,20010102,정보기술컨설팅,정보기술전략·계획,정보기술,정보통신,19v4,7,N,N
2001010209_19v4,정보기술 컨설팅 수행 관리,20010102,정보기술컨설팅,정보기술전략·계획,정보기술,정보통신,19v4,8,N,N
2001010210_19v4,정보기술 컨설팅 성과 측정,20010102,정보기술컨설팅,정보기술전략·계획,정보기술,정보통신,19v4,7,N,N
2001010211_19v4,정보시스템인프라분석,20010102,정보기술컨설팅,정보기술전략·계획,정보기술,정보통신,19v4,6,N,N
2001010212_19v4,정보시스템애플리케이션분석,20010102,정보기술컨설팅,정보기술전략·계획,정보기술,정보통신,19v4,6,N,N
2001010301_19v4,IT 비즈니스 환경분석,20010103,정보기술기획,정보기술전략·계획,정보기술,정보통신,19v4,6,N,N
2001010302_19v4,정보기술 환경분석,20010103,정보기술기획,정보기술전략·계획,정보기술,정보통신,19v4,6,N,N
2001010303_19v4,정보기술 전략 수립,20010103,정보기술기획,정보기술전략·계획,정보기술,정보통신,19v4,7,N,N
2001010304_19v4,정보기술 예산 수립,20010103,정보기술기획,정보기술전략·계획,정보기술,정보통신,19v4,6,N,N
2001010305_19v4,정보기술 모형 설계,20010103,정보기술기획,정보기술전략·계획,정보기술,정보통신,19v4,6,N,N
2001010306_19v4,정보기술 아키텍처 설계,20010103,정보기술기획,정보기술전략·계획,정보기술,정보통신,19v4,6,N,N
2001010307_19v4,정보기술 운영방안 수립,20010103,정보기술기획,정보기술전략·계획,정보기술,정보통신,19v4,5,N,N
2001010308_19v4,프로젝트 자원 투입계획 수립,20010103,정보기술기획,정보기술전략·계획,정보기술,정보통신,19v4,5,N,N
2001010309_19v4,프로젝트 실행계획 수립,20010103,정보기술기획,정보기술전략·계획,정보기술,정보통신,19v4,5,N,N
2001010310_19v4,정보기술 조직 성과 분석,20010103,정보기술기획,정보기술전략·계획,정보기술,정보통신,19v4,6,N,N
2001010401_19v4,SW제품기업 내부 환경 분석,20010104,SW제품기획,정보기술전략·계획,정보기술,정보통신,19v4,5,N,N
2001010402_19v4,SW제품기업 외부 환경 분석,20010104,SW제품기획,정보기술전략·계획,정보기술,정보통신,19v4,5,N,N
2001010403_19v4,SW제품 기술 검토,20010104,SW제품기획,정보기술전략·계획,정보기술,정보통신,19v4,6,N,N
2001010404_19v4,SW제품 시장성 분석,20010104,SW제품기획,정보기술전략·계획,정보기술,정보통신,19v4,6,N,N
2001010405_19v4,SW제품 명세 작성,20010104,SW제품기획,정보기술전략·계획,정보기술,정보통신,19v4,5,N,N
2001010406_19v4,SW제품 중장기 로드맵 수립,20010104,SW제품기획,정보기술전략·계획,정보기술,정보통신,19v4,7,N,N
2001010407_19v4,SW제품 개발 계획 수립,20010104,SW제품기획,정보기술전략·계획,정보기술,정보통신,19v4,6,N,N
2001010408_19v4,SW제품 지원 계획 수립,20010104,SW제품기획,정보기술전략·계획,정보기술,정보통신,19v4,6,N,N
2001010409_19v4,SW제품 판매 계획 수립,20010104,SW제품기획,정보기술전략·계획,정보기술,정보통신,19v4,6,N,N
2001010410_19v4,SW제품 마케팅 계획 수립,20010104,SW제품기획,정보기술전략·계획,정보기술,정보통신,19v4,6,N,N
2001010509_21v4,빅데이터 분석 결과 시각화,20010105,빅데이터분석,정보기술전략·계획,정보기술,정보통신,21v4,6,N,N
2001010510_21v4,분석 데이터 전처리,20010105,빅데이터분석,정보기술전략·계획,정보기술,정보통신,21v4,5,N,N
2001010511_21v4,탐색적 데이터 분석,20010105,빅데이터분석,정보기술전략·계획,정보기술,정보통신,21v4,6,N,N
2001010512_21v1,분석 데이터 피처(Feature) 엔지니어링,20010105,빅데이터분석,정보기술전략·계획,정보기술,정보통신,21v1,7,N,N
2001010513_21v1,빅데이터 분석 모델링,20010105,빅데이터분석,정보기술전략·계획,정보기술,정보통신,21v1,7,N,N
2001010514_21v1,빅데이터 분석 결과 평가,20010105,빅데이터분석,정보기술전략·계획,정보기술,정보통신,21v1,7,N,N
2001010515_21v1,빅데이터 분석 플로우 구성,20010105,빅데이터분석,정보기술전략·계획,정보기술,정보통신,21v1,7,N,N
2001010516_21v1,데이터 분석 기초 기술 활용,20010105,빅데이터분석,정보기술전략·계획,정보기술,정보통신,21v1,5,N,N
2001010601_19v2,IoT 환경분석,20010106,IoT융합서비스기획,정보기술전략·계획,정보기술,정보통신,19v2,5,N,N
2001010602_19v2,IoT 비즈니스 모델 개발,20010106,IoT융합서비스기획,정보기술전략·계획,정보기술,정보통신,19v2,7,N,N
2001010603_19v2,IoT 서비스 모형 기획,20010106,IoT융합서비스기획,정보기술전략·계획,정보기술,정보통신,19v2,5,N,N
2001010604_19v2,IoT 디바이스 기획,20010106,IoT융합서비스기획,정보기술전략·계획,정보기술,정보통신,19v2,5,N,N
2001010605_19v2,IoT 네트워크 기획,20010106,IoT융합서비스기획,정보기술전략·계획,정보기술,정보통신,19v2,6,N,N
