domain,ncs_code,subdivision,module_code,unit_name,sysDstinCd,fileMstky,filedetlSeq,saved_as
web-app,20010202,응용SW엔지니어링,2001020201_23v5,요구사항 확인,03,20251229161533091,20251229161533692,CURRICULUM-WEB-APP\modules\20010202_응용SW엔지니어링\01_요구사항 확인\reference\LM2001020201_23v5_요구사항 확인_20251108.pdf
web-app,20010202,응용SW엔지니어링,2001020205_23v6,데이터 입출력 구현,03,20251229161623912,20251229161624462,CURRICULUM-WEB-APP\modules\20010202_응용SW엔지니어링\05_데이터 입출력 구현\reference\LM2001020205_23v6_데이터 입출력 구현_20251108.pdf
web-app,20010202,응용SW엔지니어링,2001020206_23v6,통합 구현,03,20251229161702813,20251229161703476,CURRICULUM-WEB-APP\modules\20010202_응용SW엔지니어링\06_통합 구현\reference\LM2001020206_23v6_통합 구현_20251108.pdf
web-app,20010202,응용SW엔지니어링,2001020208_23v5,정보시스템 이행,03,20251229161749086,20251229161749526,CURRICULUM-WEB-APP\modules\20010202_응용SW엔지니어링\08_정보시스템 이행\reference\LM2001020208_23v5_정보시스템 이행_20251108.pdf
web-app,20010202,응용SW엔지니어링,2001020209_23v6,제품소프트웨어 패키징,03,20251229161834450,20251229161834920,CURRICULUM-WEB-APP\modules\20010202_응용SW엔지니어링\09_제품소프트웨어 패키징\reference\LM2001020209_23v6_제품소프트웨어 패키징_20251108.pdf
web-app,20010202,응용SW엔지니어링,2001020211_23v6,서버프로그램 구현,03,20251229161925280,20251229161925817,CURRICULUM-WEB-APP\modules\20010202_응용SW엔지니어링\11_서버프로그램 구현\reference\LM2001020211_23v6_서버 프로그램 구현_20251108.pdf
web-app,20010202,응용SW엔지니어링,2001020212_23v6,인터페이스 구현,03,20251229162022555,20251229162023119,CURRICULUM-WEB-APP\modules\20010202_응용SW엔지니어링\12_인터페이스 구현\reference\LM2001020212_23v6_.인터페이스 구현_20251108.pdf
web-app,20010202,응용SW엔지니어링,2001020214_23v6,애플리케이션 배포,03,20251229164439692,20251229164632249,CURRICULUM-WEB-APP\modules\20010202_응용SW엔지니어링\14_애플리케이션 배포\reference\LM2001020214_23v6_애플리케이션 배포_20251108.pdf
web-app,20010202,응용SW엔지니어링,2001020217_23v6,애플리케이션 리팩토링,03,20251229162620485,20251229162621100,CURRICULUM-WEB-APP\modules\20010202_응용SW엔지니어링\17_애플리케이션 리팩토링\reference\LM2001020217_23v6_애플리케이션 리팩토링_20251108.pdf
web-app,20010202,응용SW엔지니어링,2001020218_23v6,인터페이스 설계,03,20251229162725577,20251229162726179,CURRICULUM-WEB-APP\modules\20010202_응용SW엔지니어링\18_인터페이스 설계\reference\LM2001020218_23v6_인터페이스 설계_20251108.pdf
