세분류코드,대분류코드,대분류,중분류코드,중분류,소분류코드,소분류,세분류코드2,세분류,능력단위수,개정차수
20010101,20,정보통신,01,정보기술,01,정보기술전략·계획,01,정보기술전략,10,29
20010102,20,정보통신,01,정보기술,01,정보기술전략·계획,02,정보기술컨설팅,11,29
20010103,20,정보통신,01,정보기술,01,정보기술전략·계획,03,정보기술기획,10,29
20010104,20,정보통신,01,정보기술,01,정보기술전략·계획,04,SW제품기획,10,29
20010105,20,정보통신,01,정보기술,01,정보기술전략·계획,05,빅데이터분석,8,29
20010106,20,정보통신,01,정보기술,01,정보기술전략·계획,06,IoT융합서비스기획,11,29
20010107,20,정보통신,01,정보기술,01,정보기술전략·계획,07,빅데이터기획,7,29
20010108,20,정보통신,01,정보기술,01,정보기술전략·계획,08,핀테크기술기획,9,29
20010201,20,정보통신,01,정보기술,02,정보기술개발,01,SW아키텍처,11,29
20010202,20,정보통신,01,정보기술,02,정보기술개발,02,응용SW엔지니어링,27,29
20010203,20,정보통신,01,정보기술,02,정보기술개발,03,임베디드SW엔지니어링,24,29
20010204,20,정보통신,01,정보기술,02,정보기술개발,04,DB엔지니어링,11,29
20010205,20,정보통신,01,정보기술,02,정보기술개발,05,NW엔지니어링,16,29
20010206,20,정보통신,01,정보기술,02,정보기술개발,06,보안엔지니어링,9,29
20010207,20,정보통신,01,정보기술,02,정보기술개발,07,UI/UX엔지니어링,12,29
20010208,20,정보통신,01,정보기술,02,정보기술개발,08,시스템SW엔지니어링,12,29
20010209,20,정보통신,01,정보기술,02,정보기술개발,09,빅데이터플랫폼구축,8,29
20010210,20,정보통신,01,정보기술,02,정보기술개발,10,핀테크엔지니어링,9,29
20010211,20,정보통신,01,정보기술,02,정보기술개발,11,데이터아키텍처,10,29
20010212,20,정보통신,01,정보기술,02,정보기술개발,12,IoT시스템연동,9,29
20010213,20,정보통신,01,정보기술,02,정보기술개발,13,인프라스트럭쳐아키텍처구축,9,29
20010214,20,정보통신,01,정보기술,02,정보기술개발,14,클라우드솔루션아키텍처,8,29
20010215,20,정보통신,01,정보기술,02,정보기술개발,15,클라우드인프라스트럭쳐엔지니어링,10,29
20010216,20,정보통신,01,정보기술,02,정보기술개발,16,PaaS엔지니어링,9,29
20010217,20,정보통신,01,정보기술,02,정보기술개발,17,AIoT운영플랫폼구축,9,29
20010218,20,정보통신,01,정보기술,02,정보기술개발,18,온디바이스AIoT,0,29
20010301,20,정보통신,01,정보기술,03,정보기술운영,01,IT시스템관리,16,29
20010302,20,정보통신,01,정보기술,03,정보기술운영,02,IT기술교육,11,29
20010303,20,정보통신,01,정보기술,03,정보기술운영,03,IT기술지원,12,29
20010304,20,정보통신,01,정보기술,03,정보기술운영,04,빅데이터운영·관리,10,29
20010305,20,정보통신,01,정보기술,03,정보기술운영,05,IoT시스템운영·관리,9,29
20010306,20,정보통신,01,정보기술,03,정보기술운영,06,데이터거래관리,8,29
20010401,20,정보통신,01,정보기술,04,정보기술관리,01,IT프로젝트관리,14,29
20010402,20,정보통신,01,정보기술,04,정보기술관리,02,IT품질보증,13,29
20010403,20,정보통신,01,정보기술,04,정보기술관리,03,IT테스트,17,29
20010404,20,정보통신,01,정보기술,04,정보기술관리,04,IT감리,11,29
